,,,,,,Servicing,,
,,,,,States,,,
,,,,For all new stores the following,,DC,,
,,,,store state to servicing DC guide,"AZ, CA, CO, HI, NV, OK,",,,
,,Saks Fifth Avenue / Saks OFF FIFTH,,,,597,,
,,,,can be used:,"OR, TX, WA",,,
,,Store to DC Servicing List,,,All other states,575,,
,,Store,,,,,,Service
,,,Store Name,Street,City,State,Zip,
Store #,Banner,Abbreviation,,,,,,DC
101,Saks,LS,NY OFF-SITE,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
173,,PSB,FL HOLD AND FLOW,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
193,,OL,LOCKER STK O5,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
273,,HF,HOLD AND FLOW O5,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
290,,NJ,O5 BULK,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
292,,NM,BAY OUTLET O5,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
315,,YO,OTTAWA OFF 5TH,8555 CAMPEAU DRIVE,OTTAWA,ON,K2T 0K5,
316,,YN,NIAGARA OFF 5TH,300 TAYLOR ROAD,NIAGARA ON LAKE,ON,L0S 1J0,
317,,YV,VAUGHAN OFF 5TH,1 BASS PRO MILLS DRIVE,VAUGHAN,ON,L4K 5W4,
318,,YT,TRAFALGAR OFF 5TH,13850 STEELES AVE W SUITE 600,HALTON HILLS,ON,L7G 5G2,
319,,IM,CROSS IRON MILLS O5C,261055 CROSS IRON BOULEVARD,ROCKY VIEW,AB,T4A 0G3,
320,,SU,SHERWAY OFF FIFTH,1950 THE QUEENSWAY,ETOBICOKE,ON,M9C 5H5,
321,,ED,EDMONTON OFF FIFTH,1620 99 ST NW,EDMONTON,AB,T6N 1M5,
322,,RD,RIDEAU OFF 5TH,73 RIDEAU STREET,OTTAWA,ON,K1N 5W8,
323,,ML,MIRABEL O5,19001 CHEMIN NOTRE DAME,MIRABEL,QC,J7J 0T1,
324,,TW,TSAWWASSEN MILLS O5C,5000 CANOE PASS WAY BUILDING E,TSAWWASSEN,BC,V4M 0B3,
326,,WG,WINNIPEG O5,555 STERLING LYON PARKWAY,WINNIPEG,MB,R3P 1E9,
327,,PQ,PLACE STE-FOY O5,2450 BLVD LAURIER UNIT 168,STE-FOY,QC,G1V 2L1,
328,,MC,MONTREAL O5,677 ST.CATHERINE STREET WEST,MONTREAL,QC,H3B 5K4,
329,,PC,PICKERING O5,1355 KINGSTON ROAD,PICKERING,ON,L1V 1B8,
331,,BO,BRAMALEA O5,25 PEEL CENTRE DRIVE UNIT 1,BRAMPTON,ON,L6T 3R5,
332,,SW,SKYVIEW O5,13554 - 137 AVENUE NW,EDMONTON,AB,T5L 5E9,
333,,PU,PARK ROYAL O5,755 PARK ROYAL NORTH,WEST VANCOUVER,BC,V7T 1H9,
334,,MV,MARKVILLE O5,"5000 HWY 7 EAST, UNIT 3001 AT MCCOWAN ROAD",MARKHAM,ON,L3R 4M9,
336,,AJ,ANJOU O5,7999 LES GALERIES D'ANJOU BOUL UNIT Y-008B,MONTREAL,QC,H1M 1W9,
337,,MK,MARKET MALL O5C,25 SHAGANAPPI TRAIL NW UNIT N006,CALGARY,AB,T3A 0E2,
356,,TO,TORONTO,176 YONGE STREET,TORONTO,ON,M5C 2L7,
357,,XG,SAKS SHERWAY GARDENS,25 WEST MALL,TORONTO,ON,M9C 1B8,
358,,CI,CALGARY,6455 MACLEOD TRAIL SW,CALGARY,AB,T2H 0K8,
359,,MQ,MONTREAL QC,585 ST. CATHERINE STREET WEST,MONTREAL,QC,H3B 3Y5,
373,,PK,SO LOCKER STOCK,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
400,OFF 5TH,TZ,TUCSON O5,6401 WEST MARANA CENTER BLVD,TUCSON,AZ,85742,597
401,OFF 5TH,NI,NAPLES PARK SHORE O5,4135 9TH STREET NORTH,NAPLES,FL,34103,575
402,OFF 5TH,NU,57TH AND LEX O5,125 EAST 57TH ST,NEW YORK,NY,10022,575
403,OFF 5TH,AH,ALA MOANA O5,1450 ALA MOANA BLVD #1401,HONOLULU,HI,96814,597
404,OFF 5TH,WS,SEATTLE O5,400 PINE STREET,SEATTLE,WA,98101,597
405,OFF 5TH,KP,KING OF PRUSSIA O5,310 GODDARD BLVD,KING OF PRUSSIA,PA,19406,575
406,OFF 5TH,EH,EAST HANOVER O5,200 STATE ROUTE 10 WEST,EAST HANOVER,NJ,7963,575
410,OFF 5TH,BX,BRONX O5,290 BAYCHESTER AVE,BRONX,NY,10475,575
412,OFF 5TH,WT,WEST HARTFORD O5,1445 NEW BRITAIN AVENUE,WEST HARTFORD,CT,6107,575
414,OFF 5TH,BZ,BRIDGEWATER O5,356 CHIMNEY ROCK ROAD,BOUND BROOK,NJ,8805,575
431,OFF 5TH,,SAKS OFF FIFTH,25 KEYSTONE BLVD,POTTSVILLE,PA,17901,593
507,,VLC,VANCOUVER-VLC,18111 BLUNDELL RD,RICHMOND,BC,V6W 1L8,
575,,WE,WBDC CTR,250 HIGHLAND PARK BLVD,WILKES BARRE,PA,18702,575
,,,,,,Servicing,,
,,,,,States,,,
,,,,For all new stores the following,,DC,,
,,,,store state to servicing DC guide,"AZ, CA, CO, HI, NV, OK,",,,
,,Saks Fifth Avenue / Saks OFF FIFTH,,,,597,,
,,,,can be used:,"OR, TX, WA",,,
