 Product, Product Description, GTIN, Color Code, Color Descripton,Size Description, Create Date,Import,Category,Name,Sales price,Cost, Product,Bloomies Size,UPCs Left: ,  158 ,
16254,YUMMY RIB TANK,810065431967,215,COCA,X Small,10/30/2020,,,,,,,#NAME?,,,
16254,YUMMY RIB TANK,810065431974,215,COCA,Small,10/30/2020,,,,,,,#NAME?,,,
16254,YUMMY RIB TANK,810065431981,215,COCA,Medium,10/30/2020,,,,,,,#NAME?,,,
16254,YUMMY RIB TANK,810065431998,215,COCA,Large,10/30/2020,,,,,,,#NAME?,,,
16254,YUMMY RIB TANK,810065432001,1,BLACK,X Small,10/30/2020,,,,,,,#NAME?,,,
16254,YUMMY RIB TANK,810065432018,1,BLACK,Small,10/30/2020,,,,,,,#NAME?,,,
16254,YUMMY RIB TANK,810065432025,1,BLACK,Medium,10/30/2020,,,,,,,#NAME?,,,
16254,YUMMY RIB TANK,810065432032,1,BLACK,Large,10/30/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433855,1,Black,X Small,12/29/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433862,1,Black,Small,12/29/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433879,1,Black,Medium,12/29/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433886,1,Black,Large,12/29/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433893,100,White,X Small,12/29/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433909,100,White,Small,12/29/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433916,100,White,Medium,12/29/2020,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065433923,100,White,Large,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433770,1,Black,X Small,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433787,1,Black,Small,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433794,1,Black,Medium,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433800,1,Black,Large,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433817,100,White,X Small,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433824,100,White,Small,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433831,100,White,Medium,12/29/2020,,,,,,,#NAME?,,,
16277,Pull  on Flare Pant,810065433848,100,White,Large,12/29/2020,,,,,,,#NAME?,,,
WO-7135,L/S Smocked Dress,810065434012,413,Navy,X Small,12/29/2020,,,,,,,#NAME?,,,
WO-7135,L/S Smocked Dress,810065434029,413,Navy,Small,12/29/2020,,,,,,,#NAME?,,,
WO-7135,L/S Smocked Dress,810065434036,413,Navy,Medium,12/29/2020,,,,,,,#NAME?,,,
WO-7135,L/S Smocked Dress,810065434043,413,Navy,Large,12/29/2020,,,,,,,#NAME?,,,
WO-7141,Puff Slv Knit Bodycon,810065434050,1,Black,X Small,12/29/2020,,,,,,,#NAME?,,,
WO-7141,Puff Slv Knit Bodycon,810065434067,1,Black,Small,12/29/2020,,,,,,,#NAME?,,,
WO-7141,Puff Slv Knit Bodycon,810065434074,1,Black,Medium,12/29/2020,,,,,,,#NAME?,,,
WO-7141,Puff Slv Knit Bodycon,810065434081,1,Black,Large,12/29/2020,,,,,,,#NAME?,,,
5613,Balloon Slv Top,810065434371,413,Navy / Multi,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A30,E30,F30)",Top,16280 - Navy / Multi - XS,17,8.67,16280,#NAME?,,,
16256,CASMERE TIE DYE SWSHRT,810065434098,23,Charcoal/Peach,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A2,E2,F2)",Top,16256 - Charcoal/Peach - XS,24.5,8.96,16256,#NAME?,,X Small,XS
16256,CASMERE TIE DYE SWSHRT,810065434104,23,Charcoal/Peach,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A3,E3,F3)",Top,16256 - Charcoal/Peach - S,24.5,8.96,16256,#NAME?,,Small,S
